report_period_start,report_period_end,interval_start,interval_end,container_name,image_name,pod,owner_name,owner_kind,workload,workload_type,namespace,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:00:01 +0000 UTC,2023-02-20 16:15:00 +0000 UTC,manager,image_name,cmo-6757c56ccf-5mw2r,cmo-6757c56ccf,ReplicaSet,cmo,deployment,cmooperator,ip,id,0.1,0.1,0.5,0.5,0.001555,0.000682,0.009825,0.001555,1.9E-05,1.9E-05,1.9E-05,20971520,20971520,524288000,524288000,45302420.645161,43003904,45809664,45302420.645161,23645018.83871,23330816,23900160,23645018.83871
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:15:01 +0000 UTC,2023-02-20 16:30:00 +0000 UTC,manager,image_name,cmo-6757c56ccf-5mw2r,cmo-6757c56ccf,ReplicaSet,cmo,deployment,cmooperator,ip,id,0.1,0.1,0.5,0.5,0.001349,0.000551,0.002692,0.001349,0,0,0,20971520,20971520,524288000,524288000,45480926.967742,45056000,46231552,45480926.967742,23809123.096774,23470080,24346624,23809123.096774
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:30:01 +0000 UTC,2023-02-20 16:45:00 +0000 UTC,manager,image_name,cmo-6757c56ccf-5mw2r,cmo-6757c56ccf,ReplicaSet,cmo,deployment,cmooperator,ip,id,0.1,0.1,0.5,0.5,0.001419,0.000535,0.003144,0.001419,0,0,0,20971520,20971520,524288000,524288000,46854936.774194,45391872,49582080,46854936.774194,24040348.903226,23457792,25030656,24040348.903226
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:45:01 +0000 UTC,2023-02-20 17:00:00 +0000 UTC,manager,image_name,cmo-6757c56ccf-5mw2r,cmo-6757c56ccf,ReplicaSet,cmo,deployment,cmooperator,ip,id,0.1,0.1,0.5,0.5,0.001402,0.000706,0.003751,0.001402,0,0,0,20971520,20971520,524288000,524288000,49688443.870968,48644096,50728960,49688443.870968,24779214.451613,24477696,25329664,24779214.451613
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:00:01 +0000 UTC,2023-02-20 16:15:00 +0000 UTC,app,image_name,app-6-tvg28,app-6,ReplicationController,app,deploymentconfig,europe,ip,id,,,,,0.050358,0.016763,0.082479,0.050358,,,,1073741824,1073741824,1073741824,1073741824,579673583.483871,578297856,597069824,579673583.483871,494741702.193548,493875200,511234048,494741702.193548
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:00:01 +0000 UTC,2023-02-20 16:15:00 +0000 UTC,app,image_name,app-6-g8p6p,app-6,ReplicationController,app,deploymentconfig,europe,ip,id,,,,,0.049038,0.031312,0.072323,0.049038,,,,1073741824,1073741824,1073741824,1073741824,464821875.612903,464052224,476651520,464821875.612903,450554318.451613,449863680,461680640,450554318.451613
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:15:01 +0000 UTC,2023-02-20 16:30:00 +0000 UTC,app,image_name,app-6-tvg28,app-6,ReplicationController,app,deploymentconfig,europe,ip,id,,,,,0.051173,0.03309,0.08014,0.051173,,,,1073741824,1073741824,1073741824,1073741824,580907536.516129,579145728,582131712,580907536.516129,496247973.16129,494301184,496717824,496247973.16129
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:15:01 +0000 UTC,2023-02-20 16:30:00 +0000 UTC,app,image_name,app-6-g8p6p,app-6,ReplicationController,app,deploymentconfig,europe,ip,id,,,,,0.048922,0.015859,0.069055,0.048922,,,,1073741824,1073741824,1073741824,1073741824,464698467.096774,464101376,468393984,464698467.096774,450735467.354839,450138112,453869568,450735467.354839
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:30:01 +0000 UTC,2023-02-20 16:45:00 +0000 UTC,app,image_name,app-6-g8p6p,app-6,ReplicationController,app,deploymentconfig,europe,ip,id,,,,,0.04875,0.016207,0.08085,0.04875,,,,1073741824,1073741824,1073741824,1073741824,480914398.967742,465235968,497430528,480914398.967742,466969765.16129,451289088,483454976,466969765.16129
2023-02-01 00:00:00 +0000 UTC,2023-03-01 00:00:00 +0000 UTC,2023-02-20 16:30:01 +0000 UTC,2023-02-20 16:45:00 +0000 UTC,app,image_name,app-6-tvg28,app-6,ReplicationController,app,deploymentconfig,europe,ip,id,,,,,0.049486,0.025154,0.067978,0.049486,,,,1073741824,1073741824,1073741824,1073741824,583713428.645161,580067328,608542720,583713428.645161,499150187.354839,496594944,523034624,499150187.354839
